Lat,Lon,mmsi,Apparent Fishing Hours,Time Range
1.19,103.98,352123456.0,0.11,56.0
1.19,103.98,352123456.0,0.32,55.0
-0.48,117.66,353001940.0,1.11,50.0
-0.49,117.62,353001940.0,2.04,48.0
-0.49,117.64,353001940.0,0.84,49.0
-0.41,117.64,353001940.0,0.74,13.0
-0.41,117.64,353001940.0,4.47,17.0
-0.41,117.64,353001940.0,0.26,12.0
-0.41,117.64,353001940.0,0.26,24.0
-0.41,117.64,353001940.0,0.26,23.0
-0.41,117.64,353001940.0,0.25,20.0
-0.41,117.64,353001940.0,1.05,18.0
-0.49,117.59,353001940.0,0.92,46.0
4.47,106.13,416004526.0,0.25,359.0
4.85,106.44,416004526.0,0.1,355.0
4.85,106.44,416004526.0,0.21,356.0
3.23,100.43,431938000.0,0.24,217.0
-8.88,108.54,432987000.0,1.16,114.0
-8.93,108.45,432987000.0,1.74,109.0
-8.87,108.59,432987000.0,1.01,117.0
-8.92,108.47,432987000.0,0.52,110.0
-8.92,108.94,432987000.0,0.74,134.0
-8.87,108.61,432987000.0,1.25,118.0
-8.94,108.43,432987000.0,1.04,108.0
-9.0,108.14,432987000.0,0.53,97.0
-8.91,108.92,432987000.0,1.92,133.0
-8.93,108.97,432987000.0,1.3,135.0
-8.95,109.07,432987000.0,1.27,139.0
-8.94,109.02,432987000.0,1.01,137.0
-8.96,109.12,432987000.0,0.93,141.0
-8.96,109.1,432987000.0,1.56,140.0
-8.96,109.15,432987000.0,0.47,143.0
-8.87,108.58,432987000.0,0.57,116.0
-8.61,105.57,432987000.0,0.61,75.0
-8.88,108.56,432987000.0,1.04,115.0
-8.9,108.51,432987000.0,0.73,112.0
-8.91,108.5,432987000.0,1.57,111.0
-8.89,108.53,432987000.0,0.6,113.0
-8.91,108.9,432987000.0,0.87,132.0
-8.93,108.99,432987000.0,0.17,136.0
-8.95,109.05,432987000.0,1.0,138.0
-8.96,109.13,432987000.0,1.01,142.0
-8.61,105.57,432987000.0,0.08,76.0
-7.37,135.96,525001473.0,0.86,323.0
-7.38,135.95,525001473.0,0.83,322.0
1.21,105.28,525001788.0,0.82,282.0
1.82,105.33,525001788.0,0.31,334.0
1.26,105.43,525002837.0,0.65,257.0
1.33,105.28,525002837.0,1.03,304.0
1.26,105.3,525002837.0,0.56,346.0
1.28,105.12,525002837.0,0.91,18.0
1.26,105.3,525002837.0,11.01,334.0
1.36,105.28,525002837.0,0.77,299.0
1.37,105.28,525002837.0,12.96,281.0
1.34,105.28,525002837.0,1.61,303.0
1.37,105.28,525002837.0,0.26,284.0
1.37,105.29,525002837.0,1.17,323.0
1.3,105.12,525002837.0,1.03,16.0
1.31,105.11,525002837.0,1.15,15.0
1.38,105.09,525002837.0,0.59,11.0
1.35,105.1,525002837.0,0.76,13.0
1.37,105.28,525002837.0,1.03,283.0
1.2,105.31,525002837.0,3.61,352.0
1.37,105.09,525002837.0,1.19,12.0
1.14,105.39,525002837.0,0.68,253.0
1.15,105.39,525002837.0,0.98,252.0
1.2,105.31,525002837.0,1.03,353.0
1.18,105.33,525002837.0,0.55,356.0
1.18,105.32,525002837.0,0.76,355.0
1.19,105.32,525002837.0,1.04,354.0
1.26,105.43,525002837.0,1.76,256.0
1.24,105.3,525002837.0,0.84,348.0
1.26,105.3,525002837.0,1.06,347.0
1.23,105.3,525002837.0,0.53,349.0
1.25,105.3,525002837.0,2.45,358.0
1.29,105.12,525002837.0,0.99,17.0
1.26,105.12,525002837.0,0.6,19.0
1.38,105.29,525002837.0,0.51,322.0
1.35,105.28,525002837.0,1.04,301.0
1.36,105.28,525002837.0,0.77,300.0
1.32,105.28,525002837.0,0.79,305.0
1.37,105.28,525002837.0,0.88,282.0
1.16,105.4,525002837.0,0.81,251.0
1.35,105.28,525002837.0,0.55,302.0
1.33,105.11,525002837.0,1.05,14.0
-7.03,137.8,525009909.0,0.77,112.0
-7.01,137.79,525009909.0,9.26,104.0
-7.02,137.68,525009909.0,0.73,121.0
-7.01,137.3,525009909.0,11.55,168.0
-7.02,137.37,525009909.0,7.15,139.0
-7.02,137.36,525009909.0,0.66,140.0
-7.08,136.69,525009909.0,10.56,211.0
-7.03,136.66,525009909.0,22.84,200.0
-7.0,137.4,525009909.0,2.38,132.0
-7.0,137.4,525009909.0,4.96,157.0
-7.01,137.33,525009909.0,1.31,152.0
-7.01,137.24,525009909.0,1.61,150.0
-7.0,137.24,525009909.0,6.37,146.0
-6.99,137.21,525009909.0,2.55,149.0
-7.0,137.34,525009909.0,7.41,128.0
-8.41,137.26,525009909.0,1.38,321.0
-7.01,137.38,525009909.0,1.19,130.0
-7.07,136.69,525009909.0,0.99,212.0
-8.54,137.28,525009909.0,8.34,330.0
-8.53,137.26,525009909.0,2.85,336.0
-7.07,136.67,525009909.0,0.65,201.0
-8.46,137.16,525009909.0,5.14,341.0
-8.5,137.01,525009909.0,8.5,353.0
-8.42,137.21,525009909.0,13.71,301.0
-8.38,136.97,525009909.0,3.13,344.0
-7.03,137.8,525009909.0,7.32,111.0
-7.03,137.69,525009909.0,7.98,120.0
-7.15,136.87,525009909.0,4.77,177.0
-7.0,137.97,525009909.0,3.0,95.0
-8.54,137.24,525009909.0,3.67,333.0
-8.62,119.56,525016556.0,3.47,326.0
-8.51,119.86,525016556.0,0.31,298.0
-8.51,119.86,525016556.0,1.75,314.0
-8.51,119.86,525016556.0,0.44,313.0
-8.61,119.52,525016556.0,2.07,337.0
-8.64,119.61,525016556.0,3.55,346.0
-8.61,119.52,525016556.0,3.03,335.0
-8.6,119.77,525016556.0,6.82,321.0
-8.6,119.77,525016556.0,1.03,322.0
-8.68,119.56,525016556.0,2.85,349.0
-8.51,119.86,525016556.0,1.12,312.0
-8.51,119.86,525016556.0,1.75,311.0
-8.51,119.86,525016556.0,0.01,297.0
-8.61,119.52,525016556.0,2.28,332.0
-8.67,119.52,525016556.0,5.43,343.0
-8.61,119.52,525016556.0,3.37,330.0
-1.92,104.84,525018448.0,0.26,201.0
-1.97,104.9,525018448.0,0.77,199.0
-2.21,105.13,525018448.0,1.03,194.0
-2.25,105.19,525018448.0,0.36,193.0
-2.18,105.1,525018448.0,0.5,195.0
-2.1,105.03,525018448.0,1.02,196.0
-2.05,105.0,525018448.0,1.02,197.0
-2.0,104.94,525018448.0,1.09,198.0
-1.94,104.85,525018448.0,1.03,200.0
-12.68,119.13,525023035.0,4.9,30.0
-12.88,119.57,525023035.0,2.77,117.0
-12.84,119.63,525023035.0,1.45,114.0
-12.79,119.71,525023035.0,5.51,86.0
-11.95,119.22,525023035.0,2.97,13.0
-11.95,119.33,525023035.0,4.96,6.0
-12.12,119.19,525023035.0,0.7,15.0
-12.88,119.8,525023035.0,3.2,81.0
-12.55,119.53,525023035.0,3.04,58.0
-12.51,119.19,525023035.0,3.69,49.0
-12.82,119.78,525023035.0,0.46,111.0
-12.74,118.96,525023035.0,3.36,42.0
-12.75,119.12,525023035.0,2.82,45.0
-12.65,118.98,525023035.0,0.43,39.0
-12.55,119.55,525023035.0,5.03,54.0
-12.55,119.55,525023035.0,0.44,55.0
-11.94,119.6,525023035.0,2.03,1.0
-12.51,119.12,525023035.0,1.42,20.0
-12.4,119.15,525023035.0,0.36,19.0
-12.79,119.69,525023035.0,0.49,87.0
-12.37,119.15,525023035.0,2.39,18.0
-12.07,119.2,525023035.0,1.51,14.0
-11.94,119.21,525023035.0,1.05,10.0
-11.94,119.21,525023035.0,1.49,9.0
-11.95,119.25,525023035.0,1.19,7.0
-12.19,119.18,525023035.0,0.91,16.0
-12.59,119.12,525023035.0,1.05,21.0
-12.77,118.78,525023035.0,6.44,157.0
-12.8,119.53,525023035.0,3.49,90.0
-12.99,119.46,525023035.0,5.82,130.0
-13.03,119.36,525023035.0,3.14,133.0
-13.0,119.08,525023035.0,8.93,150.0
-13.01,119.05,525023035.0,2.87,141.0
-13.02,119.03,525023035.0,2.08,124.0
-12.64,119.25,525023035.0,0.95,66.0
-12.76,119.15,525023035.0,1.04,46.0
-12.68,119.14,525023035.0,1.06,31.0
-12.65,119.0,525023035.0,7.19,38.0
-12.62,119.05,525023035.0,1.34,23.0
-13.03,119.31,525023035.0,1.11,134.0
-13.07,119.19,525023035.0,2.13,137.0
-13.04,119.26,525023035.0,1.17,135.0
-12.62,118.88,525023035.0,2.37,25.0
-12.82,119.45,525023035.0,1.85,92.0
-12.98,119.21,525023035.0,5.17,122.0
-12.76,119.75,525023035.0,5.94,98.0
-12.83,119.7,525023035.0,1.78,112.0
-12.56,119.38,525023035.0,3.44,61.0
-12.72,119.68,525023035.0,1.26,74.0
-12.61,119.25,525023035.0,2.51,65.0
-12.56,119.35,525023035.0,0.83,62.0
-12.72,119.55,525023035.0,7.37,73.0
-13.1,119.15,525023035.0,1.3,139.0
-12.85,119.79,525023035.0,3.36,78.0
-12.83,119.79,525023035.0,6.78,110.0
-12.87,119.83,525023035.0,5.27,103.0
-13.03,119.24,525052319.0,5.95,156.0
-13.03,119.38,525052319.0,3.18,254.0
-12.71,119.6,525052319.0,2.97,329.0
-12.59,119.56,525052319.0,3.52,45.0
-13.0,119.92,525052319.0,7.13,272.0
-13.02,119.29,525052319.0,0.0,251.0
-12.59,119.71,525052319.0,4.56,74.0
-12.56,119.85,525052319.0,19.57,349.0
-13.0,119.41,525052319.0,0.51,303.0
-12.91,119.65,525052319.0,11.49,265.0
-12.69,119.78,525052319.0,11.8,98.0
-12.75,119.63,525052319.0,18.09,116.0
-12.49,119.67,525052319.0,1.79,20.0
-12.38,120.14,525052319.0,3.33,6.0
-12.35,120.13,525052319.0,1.03,3.0
-12.68,119.9,525052319.0,6.47,61.0
-13.0,119.93,525052319.0,1.34,274.0
-12.72,119.92,525052319.0,9.51,55.0
-12.99,119.92,525052319.0,0.5,273.0
-12.97,119.89,525052319.0,1.54,276.0
-12.96,119.68,525052319.0,1.83,164.0
-12.99,119.09,525052319.0,5.09,150.0
-12.67,119.72,525052319.0,8.33,70.0
-13.0,119.94,525052319.0,0.25,275.0
-12.34,120.12,525052319.0,2.23,2.0
-12.48,119.76,525052319.0,5.58,18.0
