Lat,Lon,mmsi,Apparent Fishing Hours,Time Range
-0.5,117.58,353001940.0,5.0,212.0
-0.49,117.6,353001940.0,0.74,207.0
-0.5,117.59,353001940.0,0.68,256.0
-0.49,117.61,353001940.0,0.0,205.0
-0.48,117.61,353001940.0,15.39,228.0
-0.49,117.61,353001940.0,1.22,206.0
1.2,103.89,416004418.0,0.4,245.0
1.21,103.89,416004418.0,0.62,244.0
1.28,104.08,416006197.0,0.71,194.0
1.27,104.06,416006197.0,0.73,197.0
1.28,104.07,416006197.0,1.0,196.0
3.62,92.35,416009215.0,0.25,146.0
3.63,92.37,416009215.0,1.16,145.0
3.7,92.47,416009215.0,0.93,144.0
3.77,92.54,416009215.0,0.84,143.0
3.84,92.6,416009215.0,0.33,142.0
-8.84,115.39,431200030.0,0.28,44.0
-8.84,115.39,431200030.0,0.14,45.0
-9.74,113.95,431253000.0,0.92,52.0
-8.76,115.24,431253000.0,0.82,71.0
-8.76,115.24,431253000.0,0.52,72.0
-10.04,113.83,431253000.0,0.92,46.0
-9.44,114.31,431253000.0,0.11,58.0
-9.51,114.17,431253000.0,0.57,57.0
-9.65,113.99,431253000.0,1.01,55.0
-9.73,113.92,431253000.0,1.01,54.0
-10.09,113.78,431253000.0,1.1,45.0
-9.57,114.07,431253000.0,0.2,56.0
-9.73,113.92,431253000.0,1.15,53.0
-9.75,113.98,431253000.0,0.94,51.0
-9.75,114.01,431253000.0,1.03,50.0
-9.98,113.88,431253000.0,1.14,47.0
-9.91,113.94,431253000.0,1.06,48.0
-8.78,115.26,431253000.0,0.42,70.0
-9.83,114.0,431253000.0,0.95,49.0
-9.21,110.64,432282000.0,0.9,248.0
-9.22,110.65,432282000.0,0.78,249.0
-9.2,110.65,432282000.0,0.45,245.0
-9.21,110.64,432282000.0,1.92,247.0
-9.06,115.16,432282000.0,0.91,282.0
-9.06,115.12,432282000.0,1.05,276.0
-9.1,115.23,432282000.0,0.59,278.0
-9.04,115.12,432282000.0,0.37,280.0
-9.05,115.15,432282000.0,0.32,281.0
-9.06,115.2,432282000.0,0.79,283.0
-9.05,115.08,432282000.0,0.69,275.0
-9.08,115.19,432282000.0,1.1,277.0
-8.97,115.51,525000669.0,1.03,278.0
-8.98,115.56,525000669.0,0.26,277.0
-8.77,115.25,525000669.0,0.25,307.0
-8.45,134.85,525001473.0,1.04,206.0
-8.38,134.82,525001473.0,0.53,207.0
-8.33,136.6,525001473.0,0.26,8.0
-8.32,136.56,525001473.0,0.55,7.0
-6.17,113.65,525002217.0,0.26,120.0
-6.22,113.7,525002217.0,1.02,131.0
-6.22,113.69,525002217.0,1.02,132.0
-6.17,113.64,525002217.0,1.0,119.0
-6.71,112.68,525002217.0,0.34,169.0
-6.22,113.7,525002217.0,1.02,130.0
-5.73,113.58,525002217.0,0.75,90.0
-6.14,113.57,525002217.0,14.13,106.0
-6.17,113.62,525002217.0,12.21,118.0
-6.22,113.69,525002217.0,0.29,133.0
-6.22,113.7,525002217.0,9.61,129.0
-6.24,113.74,525002217.0,8.44,141.0
-5.6,113.88,525004296.0,3.61,141.0
-5.6,113.89,525004296.0,1.03,137.0
-5.6,113.89,525004296.0,0.27,138.0
-5.6,113.89,525004296.0,0.0,136.0
-5.61,113.89,525004296.0,0.27,142.0
-1.34,116.99,525006110.0,0.75,303.0
-0.98,117.32,525006110.0,0.78,229.0
-1.32,117.01,525006110.0,0.1,279.0
-1.32,117.01,525006110.0,0.15,286.0
-1.31,117.02,525006110.0,1.07,239.0
-1.32,117.01,525006110.0,1.02,253.0
-1.31,117.02,525006110.0,0.05,241.0
-1.32,117.01,525006110.0,0.4,256.0
-1.34,116.99,525006110.0,0.14,300.0
-1.32,117.01,525006110.0,0.2,287.0
-1.31,117.01,525006110.0,0.7,249.0
-1.21,117.12,525006110.0,0.3,236.0
-1.31,117.02,525006110.0,0.46,240.0
-1.07,117.24,525006110.0,1.2,231.0
-1.13,117.19,525006110.0,0.84,233.0
-1.34,116.99,525006110.0,0.75,302.0
-1.34,116.99,525006110.0,0.43,299.0
-1.32,117.01,525006110.0,0.53,262.0
-1.32,117.01,525006110.0,0.1,278.0
-1.32,117.01,525006110.0,0.53,274.0
-1.2,117.13,525006110.0,1.03,235.0
-0.96,117.31,525006110.0,1.02,228.0
-0.91,117.3,525006110.0,1.28,227.0
-1.17,117.16,525006110.0,1.02,234.0
-1.32,117.01,525006110.0,0.9,259.0
-1.32,117.01,525006110.0,1.05,251.0
-1.32,117.01,525006110.0,0.75,254.0
-1.3,117.03,525006110.0,0.05,238.0
-1.32,117.01,525006110.0,0.61,257.0
-1.32,117.01,525006110.0,1.05,260.0
-1.32,117.01,525006110.0,0.97,252.0
-0.89,117.31,525006110.0,0.77,226.0
-1.32,117.01,525006110.0,1.0,250.0
-1.1,117.21,525006110.0,1.01,232.0
-1.32,117.01,525006110.0,0.65,255.0
-1.32,117.01,525006110.0,1.09,261.0
-1.34,116.99,525006110.0,0.25,301.0
-1.32,117.01,525006110.0,1.01,258.0
-1.32,117.01,525006110.0,0.25,263.0
-1.32,117.01,525006110.0,0.15,276.0
-1.32,117.01,525006110.0,0.45,275.0
-1.03,117.29,525006110.0,1.01,230.0
-7.49,137.21,525009909.0,1.53,56.0
-7.57,137.28,525009909.0,10.04,83.0
-7.66,137.15,525009909.0,5.63,73.0
-7.06,137.36,525009909.0,1.64,211.0
-6.71,137.55,525009909.0,1.55,247.0
-6.75,137.52,525009909.0,7.42,236.0
-7.37,137.2,525009909.0,7.16,51.0
-7.35,137.68,525009909.0,2.69,133.0
-7.35,137.67,525009909.0,5.39,131.0
-7.3,137.18,525009909.0,7.02,44.0
-7.04,137.38,525009909.0,5.68,205.0
-7.48,137.22,525009909.0,6.91,115.0
-7.03,137.23,525009909.0,4.48,199.0
-6.75,137.55,525009909.0,0.5,241.0
-7.28,137.03,525009909.0,0.87,174.0
-7.05,137.1,525009909.0,3.42,37.0
-6.7,137.49,525009909.0,3.6,246.0
-6.73,137.53,525009909.0,1.66,242.0
-6.97,137.24,525009909.0,8.35,33.0
-6.96,137.23,525009909.0,7.61,21.0
-6.78,137.43,525009909.0,16.16,227.0
-6.97,137.27,525009909.0,0.49,24.0
-6.97,137.26,525009909.0,1.37,23.0
-6.54,137.47,525009909.0,6.16,0.0
-6.97,137.29,525009909.0,1.33,25.0
-6.96,137.27,525009909.0,0.44,8.0
-6.96,137.24,525009909.0,1.09,22.0
-7.28,137.03,525009909.0,4.59,173.0
-6.75,137.55,525009909.0,3.86,240.0
-6.99,137.24,525009909.0,5.51,13.0
-7.43,137.17,525009909.0,2.43,98.0
-7.63,137.23,525009909.0,0.57,62.0
-7.58,137.21,525009909.0,11.8,95.0
-7.6,137.23,525009909.0,4.76,61.0
-7.09,138.45,525009909.0,6.51,276.0
-7.07,138.46,525009909.0,10.12,286.0
-7.46,137.27,525009909.0,7.15,108.0
-7.41,137.21,525009909.0,3.62,101.0
-7.39,137.2,525009909.0,3.81,55.0
-7.09,138.39,525009909.0,1.04,269.0
-7.36,137.67,525009909.0,1.99,135.0
-7.84,137.17,525009909.0,6.12,68.0
-7.21,137.17,525009909.0,5.16,181.0
-7.24,137.14,525009909.0,5.79,187.0
-7.25,137.12,525009909.0,11.52,168.0
-7.05,137.37,525009909.0,4.43,210.0
-7.23,137.07,525009909.0,2.31,176.0
-7.26,137.03,525009909.0,5.13,192.0
-7.2,137.02,525009909.0,2.73,195.0
-6.77,137.46,525009909.0,1.55,229.0
-7.22,137.25,525009909.0,8.95,157.0
-1.86,104.98,525018448.0,1.02,318.0
-1.92,104.99,525018448.0,0.84,319.0
-2.01,105.01,525018448.0,0.07,79.0
-1.78,104.97,525018448.0,1.16,84.0
-1.96,105.0,525018448.0,1.01,80.0
-2.17,105.1,525018448.0,0.51,322.0
-1.83,104.98,525018448.0,0.78,83.0
-1.73,104.96,525018448.0,0.57,86.0
-1.74,104.97,525018448.0,1.04,85.0
-1.79,104.97,525018448.0,20.05,316.0
-2.16,105.1,525018448.0,0.25,77.0
-1.8,104.97,525018448.0,1.09,317.0
-1.88,105.0,525018448.0,1.02,82.0
-1.99,105.0,525018448.0,0.98,320.0
-0.75,104.38,525018448.0,0.52,294.0
-2.21,105.13,525018448.0,0.51,323.0
-1.94,105.0,525018448.0,0.98,81.0
-11.62,119.4,525023035.0,1.19,309.0
-12.53,117.64,525023035.0,1.99,74.0
-11.58,119.16,525023035.0,4.01,298.0
-12.64,117.5,525023035.0,5.03,12.0
-12.7,117.61,525023035.0,1.31,72.0
-12.6,117.58,525023035.0,0.79,7.0
-12.6,117.57,525023035.0,1.55,6.0
-11.87,119.64,525023035.0,0.94,330.0
-11.86,119.65,525023035.0,1.28,333.0
-11.86,119.65,525023035.0,2.23,332.0
-11.86,119.6,525023035.0,0.61,326.0
-11.85,119.59,525023035.0,8.29,325.0
-11.96,118.64,525023035.0,1.64,284.0
-11.9,118.59,525023035.0,4.15,289.0
-11.94,118.64,525023035.0,1.4,285.0
-11.72,119.48,525023035.0,1.22,314.0
-11.61,119.4,525023035.0,5.68,308.0
-11.54,119.37,525023035.0,3.97,302.0
-12.55,117.31,525023035.0,1.03,27.0
-11.87,119.63,525023035.0,3.11,329.0
-12.61,117.54,525023035.0,9.95,5.0
-12.72,117.89,525023035.0,5.65,80.0
-11.67,118.94,525023035.0,5.08,294.0
-11.77,119.52,525023035.0,2.94,317.0
-12.61,117.79,525023035.0,4.21,84.0
-12.58,117.77,525023035.0,0.77,85.0
-11.7,119.46,525023035.0,3.53,313.0
-1.07,117.24,525051723.0,0.25,166.0
