Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
6.47,97.37,2024-02-11 05:00,261002755.0,0.52
6.47,97.3,2024-02-11 06:00,261002755.0,0.78
5.54,94.15,2024-02-04 13:00,525106415.0,1.15
5.55,94.14,2024-02-04 21:00,525106415.0,0.8
5.55,94.14,2024-02-04 10:00,525106415.0,0.4
5.54,94.15,2024-02-04 12:00,525106415.0,0.82
5.55,94.14,2024-02-04 18:00,525106415.0,4.92
5.55,94.14,2024-02-04 19:00,525106415.0,0.3
5.55,94.14,2024-02-04 20:00,525106415.0,1.7
5.5,94.06,2024-02-05 02:00,525106415.0,0.5
5.52,94.09,2024-02-05 00:00,525106415.0,3.25
5.51,94.07,2024-02-05 01:00,525106415.0,1.01
5.4,94.01,2024-02-08 07:00,525106415.0,0.26
5.43,94.03,2024-02-08 08:00,525106415.0,1.27
5.38,94.0,2024-02-08 06:00,525106415.0,1.7
5.31,93.96,2024-02-08 04:00,525106415.0,0.53
5.33,93.97,2024-02-08 05:00,525106415.0,0.3
5.41,94.19,2024-02-04 06:00,525106415.0,0.53
5.41,94.19,2024-02-04 07:00,525106415.0,0.55
5.29,94.12,2024-02-06 23:00,525106415.0,1.21
5.29,94.11,2024-02-07 00:00,525106415.0,0.45
5.33,94.15,2024-02-05 17:00,525106415.0,4.62
5.29,94.15,2024-02-06 12:00,525106415.0,2.7
5.29,94.15,2024-02-06 16:00,525106415.0,1.0
5.29,94.15,2024-02-06 13:00,525106415.0,0.75
5.34,94.15,2024-02-06 04:00,525106415.0,0.28
5.33,94.16,2024-02-05 12:00,525106415.0,1.3
5.3,94.16,2024-02-07 05:00,525106415.0,5.55
5.29,94.15,2024-02-06 10:00,525106415.0,0.25
5.33,94.16,2024-02-05 13:00,525106415.0,0.55
5.29,94.14,2024-02-06 22:00,525106415.0,3.7
5.29,94.15,2024-02-06 19:00,525106415.0,0.15
5.29,94.15,2024-02-06 09:00,525106415.0,0.85
5.33,94.15,2024-02-06 05:00,525106415.0,0.65
5.33,94.16,2024-02-05 11:00,525106415.0,9.04
5.29,94.15,2024-02-06 15:00,525106415.0,1.05
