Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
-3.79,97.99,2024-04-05 19:00,0.0,20.39
-4.1,98.61,2024-04-03 09:00,0.0,0.02
-6.57,100.79,2024-04-10 14:00,0.0,11.13
-6.63,101.12,2024-04-02 10:00,525900774.0,17.71
-6.63,101.12,2024-04-01 17:00,525900774.0,7.72
-6.63,101.11,2024-04-02 18:00,525900774.0,4.8
-6.74,100.89,2024-04-08 10:00,0.0,0.13
-6.67,100.82,2024-04-09 11:00,0.0,0.15
-6.75,100.87,2024-04-09 00:00,0.0,1.15
-6.68,100.82,2024-04-09 15:00,0.0,2.85
-6.67,100.82,2024-04-09 12:00,0.0,0.75
-6.99,101.02,2024-04-09 00:00,0.0,1.32
-7.14,100.98,2024-04-04 11:00,0.0,1.73
-7.33,101.16,2024-04-02 19:00,0.0,2.05
-7.34,101.16,2024-04-02 11:00,0.0,0.3
-7.37,101.05,2024-04-07 22:00,525900774.0,1.2
-7.51,101.05,2024-04-07 15:00,0.0,4.27
-7.5,101.05,2024-04-07 16:00,0.0,0.98
-7.94,100.71,2024-04-09 17:00,0.0,0.13
-7.94,100.7,2024-04-09 16:00,0.0,1.57
-7.82,101.01,2024-04-09 20:00,0.0,1.21
-8.19,101.17,2024-04-14 00:00,525900774.0,1.18
-8.19,101.17,2024-04-13 20:00,525900774.0,2.34
-8.19,101.17,2024-04-13 16:00,525900774.0,2.13
-0.59,103.82,2024-04-13 11:00,0.0,5.29
-1.09,103.84,2024-04-12 21:00,0.0,3.35
-1.81,104.85,2024-04-12 00:00,525400337.0,0.52
-1.89,104.89,2024-04-11 22:00,525400337.0,9.07
-1.93,105.05,2024-04-11 23:00,0.0,0.26
-2.01,105.0,2024-04-12 00:00,0.0,1.02
-2.04,105.0,2024-04-05 23:00,525018448.0,1.05
-2.09,105.0,2024-04-09 06:00,525500600.0,1.01
-2.09,105.0,2024-04-09 05:00,525500600.0,0.75
-2.09,105.0,2024-04-09 07:00,525500600.0,1.01
-2.09,105.13,2024-04-08 10:00,0.0,0.75
-2.09,105.13,2024-04-10 05:00,0.0,0.5
-2.16,104.94,2024-04-11 11:00,525500600.0,1.04
-2.22,104.92,2024-04-12 06:00,0.0,1.06
-2.25,104.87,2024-04-07 08:00,525800273.0,0.86
-2.2,104.92,2024-04-11 12:00,525500600.0,1.02
-2.19,104.96,2024-04-09 07:00,525400942.0,1.09
-2.12,105.06,2024-04-06 01:00,525018448.0,1.03
-2.25,105.11,2024-04-10 02:00,525101001.0,1.01
-2.21,105.03,2024-04-07 05:00,525800273.0,0.57
-2.37,104.8,2024-04-01 11:00,0.0,16.28
-2.29,104.92,2024-04-12 07:00,0.0,1.05
-2.33,104.92,2024-04-08 21:00,525500600.0,0.83
-2.26,105.15,2024-04-10 01:00,525101001.0,1.06
-2.3,105.24,2024-04-07 03:00,525800273.0,0.1
-2.33,105.33,2024-04-11 16:00,0.0,0.84
-2.31,105.32,2024-04-11 11:00,525400337.0,1.1
-2.32,105.35,2024-04-09 19:00,525101001.0,1.04
-2.34,105.39,2024-04-11 17:00,0.0,0.76
-2.33,105.42,2024-04-11 07:00,525400337.0,1.02
-2.36,105.51,2024-04-11 18:00,0.0,0.25
-2.38,105.58,2024-04-11 20:00,0.0,0.52
-0.02,109.34,2024-04-02 02:00,0.0,1.0
-5.41,108.15,2024-04-06 16:00,0.0,0.55
-4.6,108.63,2024-04-03 00:00,0.0,0.97
-4.63,108.66,2024-04-03 08:00,0.0,7.55
-4.65,108.78,2024-04-02 21:00,0.0,6.06
-4.66,108.81,2024-04-02 23:00,0.0,1.02
-4.65,108.79,2024-04-02 22:00,0.0,0.77
-4.7,108.82,2024-04-02 09:00,0.0,0.0
-4.67,108.89,2024-04-04 23:00,0.0,0.26
-4.67,108.87,2024-04-04 22:00,0.0,0.62
-4.67,108.92,2024-04-03 03:00,0.0,2.76
-5.31,108.62,2024-04-05 00:00,0.0,0.4
-5.22,109.03,2024-04-02 19:00,0.0,6.69
-3.26,109.89,2024-04-01 20:00,525900411.0,0.25
-3.26,109.89,2024-04-01 13:00,525900411.0,1.1
-3.26,109.89,2024-04-01 14:00,525900411.0,0.25
-3.54,109.96,2024-04-08 18:00,525900411.0,18.41
-3.68,109.97,2024-04-08 16:00,525800476.0,0.85
-3.71,110.1,2024-04-07 23:00,525900411.0,0.26
-3.8,110.05,2024-04-07 13:00,0.0,0.55
-3.82,110.07,2024-04-08 21:00,0.0,0.25
-3.81,110.18,2024-04-05 10:00,525900411.0,0.6
-3.81,110.18,2024-04-07 14:00,525900411.0,0.6
-3.81,110.18,2024-04-07 13:00,525900411.0,11.52
-3.73,110.34,2024-04-01 16:00,525800386.0,0.55
-3.94,109.9,2024-04-12 00:00,525900411.0,0.52
-3.84,110.43,2024-04-06 00:00,0.0,0.59
-4.42,112.48,2024-04-01 00:00,0.0,15.75
-6.85,101.32,2024-04-03 17:00,525900774.0,1.17
-6.97,101.3,2024-04-04 11:00,525900774.0,3.51
-7.1,101.27,2024-04-08 10:00,0.0,1.51
-7.07,101.28,2024-04-08 15:00,0.0,4.39
-7.24,101.58,2024-04-07 11:00,0.0,2.46
-7.26,101.61,2024-04-07 08:00,0.0,3.04
-7.29,101.66,2024-04-07 04:00,0.0,3.76
-7.32,101.7,2024-04-07 00:00,0.0,1.89
-7.67,101.26,2024-04-10 00:00,0.0,1.42
-7.66,101.28,2024-04-09 12:00,525900774.0,0.9
-7.66,101.28,2024-04-10 14:00,525900774.0,4.68
-7.45,101.84,2024-04-06 10:00,0.0,0.83
-7.44,101.84,2024-04-06 11:00,0.0,0.59
-7.38,101.78,2024-04-06 16:00,0.0,5.74
-7.47,102.46,2024-04-05 09:00,0.0,6.78
-7.74,101.58,2024-04-10 09:00,0.0,1.32
-8.02,101.33,2024-04-12 16:00,525900774.0,3.75
-8.01,101.33,2024-04-12 20:00,525900774.0,4.12
-5.91,105.8,2024-04-01 23:00,0.0,1.02
-5.9,105.8,2024-04-02 01:00,0.0,0.9
-5.91,105.8,2024-04-01 23:00,0.0,0.35
-5.87,105.87,2024-04-02 03:00,0.0,0.99
-5.86,106.1,2024-04-06 14:00,0.0,1.01
-5.87,106.1,2024-04-11 18:00,0.0,1.02
-5.87,106.1,2024-04-11 21:00,0.0,0.38
-5.87,106.11,2024-04-06 11:00,0.0,1.23
-5.87,106.11,2024-04-06 13:00,0.0,1.02
-5.87,106.1,2024-04-05 19:00,0.0,1.05
-5.88,106.11,2024-04-06 15:00,0.0,0.77
-5.87,106.1,2024-04-04 20:00,0.0,1.09
-5.89,106.01,2024-04-01 16:00,0.0,0.98
-5.89,106.01,2024-04-01 21:00,0.0,1.01
-5.89,106.01,2024-04-01 12:00,0.0,1.01
-5.89,106.01,2024-04-01 02:00,0.0,1.04
-5.89,106.01,2024-04-01 00:00,0.0,0.83
-5.89,106.01,2024-04-01 11:00,0.0,1.01
-5.93,106.12,2024-04-06 01:00,0.0,1.0
-5.9,106.12,2024-04-13 04:00,0.0,0.51
-5.89,106.1,2024-04-04 21:00,0.0,1.05
-5.96,106.13,2024-04-06 18:00,0.0,1.07
-5.93,106.12,2024-04-11 13:00,0.0,1.04
-6.02,105.94,2024-04-02 07:00,0.0,1.0
-6.02,105.94,2024-04-02 05:00,0.0,0.85
-5.97,106.12,2024-04-06 02:00,0.0,1.02
-5.97,106.13,2024-04-06 19:00,0.0,0.8
-5.97,106.11,2024-04-11 11:00,0.0,0.94
-5.97,106.12,2024-04-11 12:00,0.0,0.91
-5.97,106.11,2024-04-04 16:00,0.0,1.1
-5.97,106.11,2024-04-05 01:00,0.0,0.27
-5.97,106.13,2024-04-14 11:00,0.0,0.78
-5.97,106.11,2024-04-04 17:00,0.0,1.02
-5.97,106.13,2024-04-06 22:00,0.0,0.48
-5.82,106.22,2024-04-05 22:00,0.0,1.02
-6.93,105.9,2024-04-02 17:00,0.0,2.81
-7.09,104.28,2024-04-02 23:00,525501981.0,14.16
-7.12,104.3,2024-04-02 09:00,525501981.0,0.71
-7.1,104.36,2024-04-02 08:00,525501981.0,1.0
-7.61,105.07,2024-04-08 07:00,525501981.0,1.0
-7.61,105.08,2024-04-08 06:00,525501981.0,11.33
-7.6,105.07,2024-04-08 10:00,525501981.0,0.52
-7.49,105.17,2024-04-06 10:00,525501981.0,0.56
-7.49,105.17,2024-04-06 09:00,525501981.0,17.24
-7.52,105.24,2024-04-05 01:00,0.0,1.01
-8.0,104.75,2024-04-02 03:00,0.0,9.86
-8.0,105.02,2024-04-05 00:00,0.0,1.1
-8.01,105.03,2024-04-04 23:00,0.0,12.89
-7.8,105.14,2024-04-07 19:00,525501981.0,4.91
-7.8,105.14,2024-04-07 14:00,525501981.0,8.46
-7.92,105.2,2024-04-14 21:00,525501981.0,1.51
-8.06,104.91,2024-04-02 21:00,0.0,3.8
-8.3,105.64,2024-04-10 16:00,525501981.0,0.52
-8.3,105.64,2024-04-10 15:00,525501981.0,19.78
-8.39,105.72,2024-04-13 16:00,525501981.0,5.01
-5.76,106.99,2024-04-05 08:00,0.0,0.36
-7.7,109.09,2024-04-01 10:00,0.0,1.04
-7.7,109.09,2024-04-01 13:00,0.0,0.83
-7.71,109.09,2024-04-03 15:00,0.0,0.56
-7.71,109.09,2024-04-03 04:00,0.0,0.67
-7.7,109.09,2024-04-01 01:00,0.0,0.51
-7.76,109.06,2024-04-02 13:00,525101581.0,0.51
-7.75,109.0,2024-04-01 15:00,0.0,0.25
-7.75,109.01,2024-04-03 00:00,0.0,0.5
-7.75,109.0,2024-04-02 12:00,0.0,0.76
-7.75,109.0,2024-04-02 23:00,0.0,0.25
-7.83,109.07,2024-04-02 11:00,525101581.0,1.03
-8.2,109.03,2024-04-02 05:00,525101581.0,3.24
-6.29,110.99,2024-04-13 05:00,0.0,1.15
-6.27,111.04,2024-04-13 04:00,0.0,1.04
-6.28,111.08,2024-04-13 02:00,0.0,1.24
-6.63,110.21,2024-04-13 22:00,0.0,1.17
-6.65,110.17,2024-04-13 23:00,0.0,1.1
-6.58,110.29,2024-04-13 20:00,0.0,1.09
