Lat,Lon,Time Range,mmsi,Apparent Fishing Hours
0.88,138.54,2024-02-26 10:00,0.0,0.44
0.89,138.57,2024-02-26 09:00,0.0,1.36
0.96,138.59,2024-02-20 21:00,0.0,1.0
0.89,138.63,2024-02-26 06:00,0.0,1.17
0.89,138.64,2024-02-20 00:00,0.0,1.13
0.92,138.61,2024-02-20 01:00,0.0,0.82
0.89,138.62,2024-02-26 07:00,0.0,0.61
0.9,138.61,2024-02-26 02:00,0.0,1.03
0.9,138.64,2024-02-26 04:00,0.0,2.08
0.89,138.61,2024-02-26 08:00,0.0,0.99
0.9,138.63,2024-02-26 05:00,0.0,0.83
0.99,138.7,2024-02-19 11:00,0.0,0.9
1.04,138.84,2024-02-19 01:00,0.0,0.56
1.03,138.82,2024-02-19 02:00,0.0,1.19
0.92,138.73,2024-02-19 12:00,0.0,1.1
0.87,138.52,2024-02-26 01:00,0.0,1.13
0.82,138.67,2024-02-19 23:00,0.0,1.03
0.85,138.75,2024-02-19 13:00,0.0,0.43
0.8,138.81,2024-02-19 14:00,0.0,1.72
0.78,138.73,2024-02-19 22:00,0.0,1.16
0.75,138.78,2024-02-19 21:00,0.0,1.07
0.79,138.84,2024-02-19 16:00,0.0,1.04
0.77,138.85,2024-02-19 20:00,0.0,0.81
0.78,138.84,2024-02-19 18:00,0.0,1.04
0.78,138.85,2024-02-19 19:00,0.0,1.45
0.79,138.84,2024-02-19 15:00,0.0,1.06
1.01,138.92,2024-02-18 22:00,0.0,0.69
1.01,138.93,2024-02-18 21:00,0.0,1.02
0.97,138.97,2024-02-18 20:00,0.0,1.41
0.92,139.03,2024-02-18 18:00,0.0,1.04
0.94,139.01,2024-02-18 19:00,0.0,0.75
1.05,139.05,2024-02-18 10:00,0.0,1.0
0.97,139.08,2024-02-18 11:00,0.0,1.34
0.94,139.09,2024-02-18 12:00,0.0,0.63
0.94,139.08,2024-02-18 13:00,0.0,1.25
0.94,139.08,2024-02-18 16:00,0.0,0.92
0.94,139.08,2024-02-18 14:00,0.0,1.05
0.94,139.08,2024-02-18 15:00,0.0,1.09
0.94,139.07,2024-02-18 17:00,0.0,1.07
0.57,137.84,2024-02-27 10:00,0.0,1.26
0.55,137.86,2024-02-27 09:00,0.0,0.74
0.57,137.89,2024-02-27 03:00,0.0,1.15
0.56,137.86,2024-02-27 08:00,0.0,1.07
0.57,137.85,2024-02-27 05:00,0.0,1.03
0.57,137.85,2024-02-27 06:00,0.0,1.53
0.56,137.85,2024-02-27 07:00,0.0,0.75
0.57,137.85,2024-02-27 04:00,0.0,1.04
