Lat,Lon,mmsi,Apparent Fishing Hours,Time Range
-8.55,140.08,2600001,0.66,24.0
-8.51,140.09,2600002,6.56,23.0
-9.07,140.13,2600002,1.05,38.0
-9.09,140.17,2600002,3.07,46.0
-9.42,139.91,2600003,12.16,296.0
-9.55,139.83,2600002,1.92,163.0
-9.66,139.75,2600002,2.12,161.0
-9.7,139.81,2600002,0.75,154.0
-9.68,139.86,2600001,9.61,153.0
-9.72,139.77,2600002,3.24,159.0
-9.72,139.77,2600002,1.25,155.0
-9.2,140.12,2600002,1.65,48.0
-9.28,140.09,2600004,0.77,49.0
-9.35,140.05,2600005,10.62,59.0
-9.4,140.0,2600005,2.1,344.0
-9.43,139.98,2600005,10.65,306.0
-9.41,139.94,2600005,0.7,224.0
-9.41,140.03,2600005,13.67,341.0
-9.42,140.04,2600002,5.2,328.0
-9.41,140.01,2600005,9.64,283.0
-9.52,139.93,2600002,0.38,80.0
-9.52,139.95,2600002,2.41,106.0
-9.47,139.98,2600002,23.99,216.0
-9.52,139.95,2600001,1.02,71.0
-9.53,139.95,2600003,1.62,125.0
-9.53,139.95,2600002,2.75,92.0
-9.45,140.03,2600004,6.23,68.0
-9.53,140.01,2600002,2.33,128.0
-9.51,140.06,2600003,6.34,360.0
-9.53,140.05,2600006,9.39,139.0
-9.56,140.03,2600007,0.85,144.0
-9.55,140.04,2600008,3.35,143.0
-9.38,140.01,2600009,22.06,319.0
-0.08,140.24,2600010,0.96,229.0
-0.08,140.24,2600011,2.76,227.0
-0.08,140.24,2600012,1.62,225.0
-0.27,140.24,2600013,0.63,284.0
-0.27,140.25,2600014,1.86,283.0
-0.35,140.43,2600014,1.07,256.0
-0.35,140.43,2600014,0.75,248.0
-0.35,140.41,2600015,0.6,260.0
-7.19,135.21,2600002,2.18,103.0
-7.27,135.43,2600002,2.95,128.0
-7.31,135.41,2600002,3.6,132.0
-7.28,135.46,2600002,3.03,125.0
-7.58,135.14,2600016,0.45,156.0
-7.62,135.04,2600016,1.03,158.0
-7.4,135.42,2600002,0.9,140.0
-7.41,135.48,2600017,2.88,137.0
-7.4,135.44,2600018,2.53,134.0
-7.38,135.5,2600019,1.38,115.0
-5.04,135.52,2600002,23.5,324.0
-5.29,135.59,2600020,13.25,301.0
-5.39,136.17,2600021,1.71,144.0
-9.58,138.95,2600002,0.05,112.0
-9.61,138.95,2600005,2.82,133.0
-9.66,138.95,2600005,17.17,129.0
-9.64,138.95,2600005,0.95,130.0
-10.12,138.59,2600022,4.48,352.0
-10.09,138.58,2600022,0.86,354.0
-10.2,138.56,2600022,24.84,339.0
-10.22,138.58,2600022,0.44,341.0
-10.21,138.56,2600022,1.04,340.0
-10.15,138.62,2600022,11.54,311.0
-10.2,138.61,2600022,3.28,314.0
-10.25,138.61,2600022,1.23,286.0
-10.37,138.67,2600023,0.0,279.0
-10.37,138.67,2600024,1.23,280.0
-10.35,138.62,2600025,0.29,300.0
-10.21,138.99,2600024,11.71,187.0
-5.7,136.02,2600002,11.66,144.0
-6.25,136.08,2600002,7.19,172.0
-9.1,137.76,2600005,11.12,252.0
-9.01,138.15,2600005,1.7,295.0
-9.02,138.25,2600005,0.27,360.0
-9.11,137.88,2600005,10.68,263.0
-9.11,137.88,2600005,0.87,264.0
-9.15,138.0,2600026,1.94,276.0
-9.16,138.01,2600024,0.92,277.0
-9.15,137.99,2600026,4.54,274.0
-9.2,138.03,2600027,2.15,281.0
-4.91,136.06,2600002,0.0,120.0
-5.39,135.27,2600002,0.86,157.0
-8.07,136.33,2600028,0.51,116.0
-8.09,136.35,2600028,0.51,115.0
-8.84,135.83,2600029,10.44,24.0
-8.81,135.9,2600030,0.85,14.0
-8.86,135.9,2600005,12.74,49.0
-9.2,136.05,2600005,0.3,82.0
-9.45,136.49,2600005,0.22,128.0
-9.77,137.32,2600005,0.3,226.0
-9.77,137.32,2600026,0.26,224.0
-9.82,137.51,2600031,0.79,359.0
-9.85,137.57,2600026,5.93,358.0
-10.0,137.87,2600032,1.2,275.0
-10.0,137.88,2600032,0.7,276.0
-10.06,138.09,2600033,18.44,336.0
-7.58,137.33,2600018,0.83,200.0
-7.57,137.47,2600018,0.18,197.0
-6.83,138.15,2600018,1.26,103.0
-6.84,138.12,2600018,1.05,104.0
-6.95,137.96,2600018,1.64,126.0
-6.94,137.96,2600008,1.67,125.0
-6.88,138.06,2600018,0.93,1.0
-6.88,138.03,2600018,0.97,0.0
-6.86,138.05,2600018,3.56,123.0
-6.88,138.08,2600018,1.0,2.0
-6.88,138.15,2600018,0.93,6.0
-6.86,138.11,2600018,1.27,118.0
-6.88,138.16,2600018,1.83,8.0
-7.01,138.05,2600018,3.72,140.0
-6.97,137.99,2600018,0.65,127.0
-6.99,138.07,2600018,5.85,136.0
-6.93,138.16,2600018,1.01,23.0
-6.93,138.16,2600018,0.4,22.0
-6.8,138.24,2600018,2.53,100.0
-6.84,138.22,2600018,0.81,77.0
-6.81,138.24,2600018,0.12,101.0
-6.82,138.29,2600018,0.29,96.0
-6.79,138.25,2600018,2.31,98.0
-6.86,138.21,2600018,3.05,108.0
-6.86,138.19,2600018,1.91,112.0
-6.91,138.19,2600018,1.42,13.0
-6.92,138.19,2600018,0.91,14.0
-6.86,138.2,2600018,1.94,110.0
-6.85,138.31,2600018,1.39,94.0
